;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean;2011 min;2012 min;2013 min;2014 min;2015 min;2016 min;2017 min;2011 max;2012 max;2013 max;2014 max;2015 max;2016 max;2017 max;2011 sd;2012 sd;2013 sd;2014 sd;2015 sd;2016 sd;2017 sd
Innsbruck;AT;;;;;;262780;261503;;;;;;12.44884912;14.81739352;;;;;;8.453611386;9.574345227;;;;;;21.46890935;22.60758003;;;;;;4.815182045;4.726364517
Klosterneuburg;AT;;;;;30000;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
Adelaide (4);AU;;;;;;;1133475;;;;;;;34.05093018;;;;;;;31.6949194;;;;;;;37.89249778;;;;;;;2.425303427
Canberra;AU;;;;338888;338888;;390706;;;;24.53661349;25.54845322;;23.1616963;;;;20.22597584;21.5209016;;18.99141042;;;;27.37514489;30.08449871;;26.50573577;;;;2.464238086;3.004366138;;2.583572554
Toowoomba;AU;;;;125000;125000;;125000;;;;17.58984961;23.15560158;;56.32613781;;;;16.51703045;19.11073798;;46.78841216;;;;21.60436656;26.53803504;;68.70568408;;;;1.798142698;2.881866411;;6.634323562
Sarajevo;BA;;;130000;;;150000;;;;52.41758242;;;127.178;;;;26.15384615;;;99.00466667;;;;80.76923077;;;149.9666667;;;;19.58352652;;;21.08068239;
Antwerp (2);BE;;344094;344094;344094;344094;344094;;;123.7448634;143.3682685;155.2775365;184.2129951;131.6328175;;;98.580495;124.4751415;111.2527274;161.284457;117.5715775;;;144.2349747;160.94298;191.3185498;198.2987704;172.9842332;;;16.3822862;13.76204779;25.93713918;11.89367331;19.25173962;
Antwerp D;BE;;213876;213876;213876;213876;213876;;;101.9911091;117.9546862;120.1643632;143.9375768;90.45348802;;;76.53258898;90.15880274;91.22999338;136.330902;80.00904898;;;134.9817225;157.7482835;170.1848869;154.5208278;101.1803752;;;21.41666667;23.06339353;28.77025008;6.096434835;7.988585324;
Antwerp Z;BE;117200;130218;130218;130218;130218;130218;130218;277.1798429;159.4742245;185.1086985;212.9490187;250.3631846;199.2676321;268.75181;211.5216;131.1033147;166.1900958;144.1389817;188.6752064;162.3832171;188.2423259;318.8948;188.62928;202.2410169;304.3754874;275.4309307;291.2549552;650.7711561;43.22605973;17.57315325;11.95993843;48.58366241;29.04940966;43.4948197;169.1681714
Boom;BE;;;;;;;30600;;;;;;;191.0716956;;;;;;;159.7271242;;;;;;;225.2871242;;;;;;;22.01260254
Brussels;BE;1027300;953987;953987;;953987;953987;953987;35.39458571;38.84798768;24.79603346;;58.27689542;36.83027602;49.16851086;22.1844;27.36499935;16.88785797;;47.1193833;30.97345071;38.60983116;57.5738;52.35998334;34.58292213;;75.96489732;48.05876677;61.18183833;12.74878871;7.528851646;5.465009742;;10.70129806;5.827462599;9.066436438
Geraardsbergen;BE;;;29047;29047;29047;;;;;0.815537806;;214.2933336;;;;;0.471027428;;179.0994074;;;;;1.319907834;;246.6182398;;;;;0.335084133;;20.99107992;;
Koksijde;BE;;;78441;;78441;78441;78441;;;26.48231128;;40.46142457;39.26755141;43.3699146;;;21.55493169;;33.27873087;21.01640724;39.58650961;;;31.11018814;;44.99831313;89.90985582;48.48132737;;;3.772210684;;4.623939308;22.91215027;2.997197096
Merchtem;BE;;;;;;;16200;;;;;;;26.81003527;;;;;;;19.10133333;;;;;;;34.16730864;;;;;;;5.2346137
Ninove;BE;;;36179;36179;36179;;;;;111.9438227;129.4000071;119.0441123;;;;;78.40652832;98.39077918;104.3926665;;;;;185.4839577;192.6379944;151.0148304;;;;;38.8633858;34.24697134;15.7076325;;
Oostende;BE;;;;;159000;159000;159000;;;;;176.5806792;178.9829578;236.3718527;;;;;157.4931321;144.8114717;197.5653031;;;;;209.1129057;254.3673962;263.9292377;;;;;17.88752942;38.57793155;25.91329586
Ruisbroek;BE;;;;;;;36000;;;;;;;57.18592619;;;;;;;49.7945;;;;;;;82.15433333;;;;;;;11.59217493
