;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean;2011 min;2012 min;2013 min;2014 min;2015 min;2016 min;2017 min;2011 max;2012 max;2013 max;2014 max;2015 max;2016 max;2017 max;2011 sd;2012 sd;2013 sd;2014 sd;2015 sd;2016 sd;2017 sd
Innsbruck;AT;;;;;;262780;261503;;;;;;161.9598415;222.7773459;;;;;;111.8952356;164.7491616;;;;;;236.5507268;282.0335904;;;;;;45.78454264;43.51294955
Klosterneuburg;AT;;;;;30000;;;;;;;83.38512857;;;;;;;53.343;;;;;;;122.8672;;;;;;;22.62762344;;
Adelaide (4);AU;;;;;;;1133475;;;;;;;83.6626529;;;;;;;50.70769386;;;;;;;137.7665855;;;;;;;33.96803809
Canberra;AU;;;;338888;338888;;390706;;;;61.07186243;73.17952585;;96.2151808;;;;35.24238332;40.89062906;;56.43405016;;;;97.85519995;127.7561277;;164.2980323;;;;22.81161762;32.82303589;;42.5816049
Toowoomba;AU;;;;125000;125000;;125000;;;;2.31611981;2.227117829;;6.148805291;;;;0.601781856;1.134509824;;0.018821;;;;8.19198;3.933764352;;13.864576;;;;2.645874399;0.988825627;;6.245963865
Sarajevo;BA;;;130000;;;150000;;;;30.58241758;;;59.48838095;;;;18.30769231;;;39.382;;;;44.61538462;;;80.66666667;;;;9.633506732;;;16.62227781;
Antwerp (2);BE;;344094;344094;344094;344094;344094;;;477.0006615;591.847754;465.5389036;524.7684446;600.7944712;;;377.787864;474.1591247;334.2285798;490.3395828;506.219699;;;522.4264797;734.5299809;622.8405213;612.7242742;810.9107633;;;47.76088367;98.80441446;91.93517625;40.7119282;109.1266955;
Antwerp D;BE;;213876;213876;213876;213876;213876;;;315.6274542;442.7174775;363.7676288;466.1037005;409.6178804;;;256.2791829;329.2564893;265.0609249;402.848957;344.4156765;;;353.6911478;683.9772889;564.828884;534.0208854;490.9254916;;;39.95165289;126.7776051;110.4271691;50.46177461;48.25999474;
Antwerp Z;BE;117200;130218;130218;130218;130218;130218;130218;721.1829758;742.0473992;836.7861421;632.6927008;621.1221039;914.7916491;822.9287836;589.7286643;577.3592803;712.1538417;439.2961415;525.2934239;670.1107755;666.11333;919.9085921;865.2272644;1053.755722;859.2719098;744.6445819;1406.506075;936.8627256;117.9896243;99.97277697;113.4603663;134.8443622;75.74031072;246.1817414;97.89132341
Boom;BE;;;;;;;30600;;;;;;;426.8029141;;;;;;;318.2718954;;;;;;;574.0291765;;;;;;;90.77084361
Brussels;BE;1027300;953987;953987;;953987;953987;953987;184.3182156;187.1923096;223.8054626;;472.3596338;416.8282686;373.8058425;115.8216968;138.0821048;179.3880913;;353.9313601;319.8201957;310.5313888;244.0381949;253.1729026;276.4835877;;609.5687238;516.177931;488.639628;45.9361602;43.59828531;32.10700058;;99.9473884;71.72344531;67.49658556
Geraardsbergen;BE;;;29047;29047;29047;;;;;22.87738042;66.26399579;55.54667124;;;;;13.30405888;38.40506765;42.09635887;;;;;31.60524597;92.0877199;77.4001804;;;;;7.227977621;20.12995054;11.5265288;;
Koksijde;BE;;;78441;;78441;78441;78441;;;51.68292466;;51.61546285;77.08649449;75.88564745;;;25.4702664;;35.78871845;34.11358856;42.58526026;;;70.43545219;;82.03263242;195.1105034;110.5527479;;;13.43842718;;16.76504819;53.38310154;25.53657426
